date,prison,country,succeeded,escapee(s)
1971-08-19,Santa Martha Acatitla,Mexico,Yes,"Joel David Kaplan
Carlos Antonio Contreras Castro"
1973-10-31,"Mountjoy Jail, Dublin",Ireland,Yes,JB O'HaganSeamus TwomeyKevin Mallon
1978-05-24,"United States Penitentiary, Marion, Illinois",United States,No,Garrett Brock TrapnellMartin Joseph McNallyJames Kenneth Johnson
1981-02-27,"Fleury-Mérogis, Essonne, Ile de France",France,Yes,Gérard DupréDaniel Beaumont
1981-05-07,"Orsainville Prison, Quebec City",Canada,No,Marina Paquet (hijacker)Giles Arseneault (prisoner)
1983-01-01,Pentridge (HM Prison),Australia,No,David McMillan
1985-12-19,"Perry Correctional Institution, Pelzer, South Carolina",United States,Yes,James Rodney LeonardWilliam Douglas BallewJesse Glenn Smith
1985-12-31,"Cândido Mendes penitentiary, Ilha Grande, Rio de Janeiro",Brazil,Yes,"José Carlos dos Reis Encina, a.k.a. ""Escadinha"""
1986-05-26,Prison de la Santé,France,Yes,Michel Vaujour
1986-11-05,"Federal Correctional Institution, Dublin, California",United States,Yes,Samantha Lopez
1986-11-23,"Prigione di Rebibbia, Rome",Italy,Yes,André BellaïcheGianluigi EspositoLuciano Cipollari
1987-12-10,Gartree (HM Prison),United Kingdom,Yes,Sydney DraperJohn Kendall
1988-07-11,Penitentiary of New Mexico,United States,Yes,Danny MahoneyFrancis MitchellRandy Lackey
1988-08-02,"Cárcel Bellavista, Bello, Colombia",Colombia,Yes,Dandeny MuñozBrances Muñoz
1988-12-23,"Cárcel Bellavista, Bello, Colombia",Colombia,Yes,—
1989-04-17,"Federal Holding Facility, Miami, Florida",United States,No,Ben Kramer
1989-08-19,"Arkansas Valley Correctional Facility, Colorado",United States,Yes,Ralph BrownFreddie Gonzales
1990-06-19,"Kent Penitentiary, British Columbia",Canada,Yes,Robert FordDavid Thomas
1991-04-07,"Rio Piedras State Penitentiary, Puerto Rico",Puerto Rico,Yes,William Lane
1992-02-24,Lyon Prison,France,Yes,—
1992-12-01,"Touraine Central Prison, Tours",France,No,—
1993-06-17,"Touraine Central Prison, Tours",France,No,Michel Vaujour
1996-12-30,"High Security Prison, Santiago",Chile,Yes,Four members of the Manuel Rodriguez Patriotic Front
1997-09-18,De Geerhorst prison,Netherlands,No,—
1999-03-25,Metropolitan Remand and Reception Centre,Australia,Yes,John Killick
2000-06-05,"Martin Treatment Center for Sexually Violent Predators, Martin County, Florida",United States,Yes,Steven Whitsett
2000-12-13,Lyon prison,France,Yes,—
2001-01-19,Luynes prison,France,Yes,Pascal Payet
2001-03-24,Draguignan prison,France,Yes,Abdelhamid CarnousEmile Forma-SariJean-Philippe Lecase
2001-05-28,Fresnes prison,France,No,—
2002-01-17,Parada Neto Penitentiary,Brazil,Yes,—
2002-12-30,"Las Cucharas prison, Ponce, Puerto Rico",United States,Yes,Orlando Cartagena Jose Rodriguez Victor Diaz Hector Diaz Jose Tapia
2003-04-04,Luynes prison,France,Yes,Eric AlboreoFranck PerlettoMichel Valero
2005-07-01,France,France,No,—
2005-12-10,Aiton Prison,France,Yes,Hubert SellesJean-Claude MorettiMohamed Bessame
2006-06-06,Korydallos Prison,Greece,Yes,Vassilis PaleokostasAlket Rizai
2007-04-15,"Lantin Prison, Liège",Belgium,Yes,Eric Ferdinand
2007-07-15,Grasse prison,France,Yes,Pascal Payet
2007-10-28,Ittre prison,Belgium,No,Nordin Benallal
2009-02-22,Korydallos Prison,Greece,Yes,Vasilis PaleokostasAlket Rizai
2009-04-27,"Domenjod Prison, Réunion",France,Yes,Juliano VerbardAlexin JismyFabrice Michel
2009-07-23,Bruges,Belgium,Yes,Ashraf Sekkaki plus three other criminals
2010-06-25,"HM Prison Isle of Wight, Isle of Wight",United Kingdom,No,Brian Lawrence
2012-03-22,"Sheksna, Penal colony N17",Russia,Yes,Alexey Shestakov
2013-02-24,"Trikala Prison, Trikala",Greece,No,Panagiotis Vlastos
2013-03-17,"Saint-Jérôme Detention Facility, Quebec",Canada,Yes,Benjamin Hudon-BarbeauDanny Provençal
2014-06-07,"Orsainville Detention Facility, Quebec",Canada,Yes,Yves DenisDenis LefebvreSerge Pomerleau
2016-02-22,Thiva,Greece,No,Pola RoupaNikos Maziotis
2018-07-01,"Réau, near Paris",France,Yes,Rédoine Faïd
2020-09-25,"Forest prison, Brussels",Belgium,No,Kristel A.
